,0
732,5
733,4
734,8
735,0
736,7
737,5
738,2
739,8
740,2
741,2
742,2
743,3
744,1
745,2
746,5
747,3
748,6
749,5
750,5
751,6
752,0
753,4
754,9
755,9
756,4
757,9
758,3
759,8
760,8
761,3
762,6
763,4
764,3
765,1
766,9
767,8
768,8
769,9
770,1
771,3
772,8
773,5
774,1
775,0
776,5
777,6
778,9
779,6
780,1
781,4
782,6
783,5
784,9
785,2
786,2
787,1
788,3
789,6
790,3
791,0
792,7
793,1
794,2
795,9
796,1
797,2
798,1
799,5
800,5
801,9
802,0
803,3
804,6
805,5
806,4
807,7
808,7
809,6
810,2
811,7
812,5
813,0
814,5
815,5
816,8
817,9
818,8
819,3
820,7
821,8
822,1
823,2
824,7
825,0
826,7
827,7
828,2
829,8
830,1
831,9
832,8
833,1
834,7
835,7
836,3
837,9
838,3
839,6
840,0
841,6
842,3
843,1
844,1
845,6
846,1
847,2
848,7
849,2
850,1
851,3
852,4
853,4
854,6
855,5
856,1
857,0
858,9
859,5
860,6
861,3
862,3
863,7
864,6
865,6
866,9
867,3
868,3
869,1
870,9
871,0
872,5
873,1
874,6
875,9
876,1
877,1
878,2
879,9
880,1
881,4
882,3
883,3
884,4
885,6
886,7
887,7
888,9
889,3
890,8
891,2
892,9
893,1
894,5
895,4
896,3
897,5
898,7
899,1
900,2
901,4
902,0
903,6
904,5
905,1
906,7
907,1
908,9
909,9
910,8
911,0
912,0
913,7
914,1
915,1
916,9
917,9
918,1
919,0
920,3
921,8
922,2
923,0
924,4
925,7
926,0
927,1
928,0
929,2
930,2
931,3
932,2
933,3
934,6
935,0
936,1
937,2
938,1
939,0
940,7
941,6
942,7
943,4
944,3
945,6
946,6
947,5
948,4
949,4
950,4
951,3
952,1
953,1
954,6
955,4
956,7
957,7
958,7
959,5
960,7
961,2
962,2
963,7
964,9
965,5
966,4
967,3
968,1
969,6
970,4
971,5
972,9
973,6
974,9
975,8
976,4
977,1
978,3
979,9
980,0
981,7
982,0
983,1
984,9
985,6
986,7
987,5
988,6
989,2
990,1
991,8
992,6
993,9
994,8
995,3
996,8
997,6
998,3
999,0
1000,1
1001,2
1002,5
1003,7
1004,7
1005,2
1006,7
1007,0
1008,7
1009,7
1010,9
1011,9
1012,7
1013,3
1014,0
1015,3
1016,1
1017,5
1018,9
1019,7
1020,4
1021,6
1022,5
1023,9
1024,8
1025,2
1026,3
1027,9
1028,9
1029,0
1030,0
1031,6
1032,6
1033,5
1034,9
1035,5
1036,7
1037,3
1038,3
1039,8
1040,5
1041,1
1042,7
1043,9
1044,4
1045,9
1046,7
1047,9
1048,8
1049,4
1050,2
1051,4
1052,7
1053,6
1054,7
1055,8
1056,5
1057,4
1058,8
1059,2
1060,2
1061,3
1062,9
1063,3
1064,9
1065,4
1066,6
1067,0
1068,1
1069,6
1070,7
1071,9
1072,2
1073,3
1074,1
1075,1
1076,6
1077,0
1078,1
1079,4
1080,7
1081,1
1082,3
1083,3
1084,8
1085,4
1086,6
1087,8
1088,8
1089,8
1090,5
1091,1
1092,4
1093,4
1094,0
1095,6
1096,2
1097,1
1098,7
1099,4
1100,9
1101,0
1102,1
1103,2
1104,9
1105,8
1106,3
1107,0
1108,6
1109,8
1110,2
1111,8
1112,2
1113,8
1114,3
1115,5
1116,7
1117,1
1118,9
1119,9
1120,5
1121,9
1122,1
1123,0
1124,8
1125,8
1126,9
1127,6
1128,8
1129,2
1130,0
1131,2
1132,3
1133,4
1134,7
1135,1
1136,9
1137,1
1138,9
1139,9
1140,1
1141,0
1142,3
1143,8
1144,1
1145,3
1146,6
1147,9
1148,5
1149,0
1150,4
1151,2
1152,1
1153,2
1154,7
1155,4
1156,1
1157,1
1158,5
1159,8
1160,9
1161,9
1162,6
1163,6
1164,0
1165,1
1166,2
1167,2
1168,2
1169,2
1170,5
1171,9
1172,8
1173,3
1174,4
1175,5
1176,9
1177,2
1178,0
1179,2
1180,5
1181,9
1182,7
1183,1
1184,7
1185,9
1186,5
1187,3
1188,5
1189,3
1190,2
1191,5
1192,8
1193,2
1194,5
1195,0
1196,2
1197,9
1198,7
1199,9
1200,5
1201,1
1202,1
1203,0
1204,6
1205,7
1206,3
1207,0
1208,0
1209,4
1210,5
1211,3
1212,1
1213,4
1214,0
1215,3
1216,9
1217,7
1218,7
1219,4
1220,2
1221,8
1222,1
1223,3
1224,0
1225,2
1226,5
1227,9
1228,5
1229,0
1230,2
1231,0
1232,4
1233,4
1234,8
1235,8
1236,1
1237,3
1238,8
1239,9
1240,4
1241,2
1242,9
1243,0
1244,5
1245,8
1246,3
1247,1
1248,8
1249,1
1250,8
1251,0
1252,8
1253,2
1254,7
1255,3
1256,9
1257,0
1258,9
1259,9
1260,2
1261,2
1262,0
1263,4
1264,6
1265,6
1266,9
1267,4
1268,8
1269,0
1270,3
1271,1
1272,6
1273,6
1274,4
1275,5
1276,8
1277,0
1278,3
1279,4
1280,4
1281,7
1282,3
1283,4
1284,2
1285,7
1286,7
1287,3
1288,5
1289,3
1290,6
1291,8
1292,3
1293,0
1294,9
1295,6
1296,4
1297,4
1298,4
1299,9
1300,7
1301,6
1302,1
1303,0
1304,1
1305,2
1306,4
1307,0
1308,8
1309,7
1310,5
1311,6
1312,1
1313,2
1314,4
1315,2
1316,4
1317,3
1318,1
1319,1
1320,4
1321,4
1322,3
1323,8
1324,5
1325,2
1326,8
1327,4
1328,7
1329,6
1330,9
1331,8
1332,9
1333,8
1334,3
1335,2
1336,1
1337,7
1338,6
1339,6
1340,6
1341,1
1342,7
1343,9
1344,8
1345,1
1346,1
1347,7
1348,8
1349,2
1350,1
1351,7
1352,9
1353,8
1354,9
1355,3
1356,8
1357,1
1358,7
1359,5
1360,0
1361,7
1362,3
1363,0
1364,1
1365,2
1366,0
1367,1
1368,5
1369,1
1370,9
1371,9
1372,5
1373,1
1374,9
1375,7
1376,6
1377,8
1378,7
1379,0
1380,3
1381,4
1382,1
1383,6
1384,1
1385,5
1386,0
1387,8
1388,6
1389,1
1390,9
1391,2
1392,3
1393,6
1394,2
1395,8
1396,7
1397,5
1398,1
1399,6
1400,5
1401,4
1402,0
1403,7
1404,8
1405,4
1406,8
1407,5
1408,8
1409,3
1410,2
1411,0
1412,0
1413,3
1414,9
1415,5
1416,1
1417,8
1418,6
1419,7
1420,7
1421,2
1422,8
1423,3
1424,5
1425,1
1426,0
1427,8
1428,1
1429,7
1430,5
1431,0
1432,1
1433,0
1434,3
1435,2
1436,8
1437,2
1438,3
1439,7
1440,3
1441,3
1442,7
1443,6
1444,6
1445,5
1446,7
1447,7
1448,5
1449,1
1450,4
1451,6
1452,2
1453,9
1454,9
1455,3
1456,6
1457,8
1458,3
1459,9
1460,7
1461,9
1462,9
1463,6
1464,5
1465,1
1466,8
1467,3
1468,7
1469,2
1470,3
1471,7
1472,2
1473,4
1474,2
1475,5
1476,5
1477,8
1478,2
1479,2
1480,0
1481,6
1482,5
1483,0
1484,5
1485,5
1486,5
1487,0
1488,7
1489,5
1490,1
1491,3
1492,9
1493,5
1494,8
1495,0
1496,9
1497,2
1498,9
1499,2
1500,6
1501,3
1502,7
1503,8
1504,3
1505,7
1506,9
1507,8
1508,1
1509,5
1510,4
1511,8
1512,3
1513,4
1514,5
1515,5
1516,5
1517,3
1518,7
1519,8
1520,9
1521,8
1522,5
1523,1
1524,6
1525,0
1526,7
1527,5
1528,4
1529,2
1530,1
1531,8
1532,7
1533,7
1534,7
1535,3
1536,9
1537,2
1538,1
1539,8
1540,6
1541,9
1542,3
1543,5
1544,0
1545,3
1546,2
1547,3
1548,1
1549,3
1550,5
1551,6
1552,1
1553,5
1554,1
1555,6
1556,7
1557,5
1558,6
1559,1
1560,2
1561,1
1562,8
1563,9
1564,7
1565,3
1566,6
1567,3
1568,0
1569,8
1570,7
1571,7
1572,1
1573,7
1574,7
1575,7
1576,8
1577,5
1578,5
1579,6
1580,3
1581,3
1582,9
1583,2
1584,0
1585,0
1586,4
1587,6
1588,8
1589,1
1590,7
1591,6
1592,4
1593,4
1594,3
1595,9
1596,8
1597,8
1598,6
1599,9
1600,5
1601,9
1602,7
1603,8
1604,1
1605,8
1606,3
1607,8
1608,4
1609,0
1610,5
1611,8
1612,8
1613,1
1614,5
1615,8
1616,6
1617,5
1618,9
1619,7
1620,2
1621,1
1622,5
1623,9
1624,1
1625,9
1626,8
1627,5
1628,2
1629,1
1630,2
1631,1
1632,0
1633,4
1634,0
1635,4
1636,8
1637,1
1638,0
1639,2
1640,4
1641,1
1642,2
1643,7
1644,7
1645,0
1646,9
1647,7
1648,6
1649,0
1650,7
1651,7
1652,6
1653,5
1654,3
1655,4
1656,2
1657,9
1658,9
1659,0
1660,1
1661,2
1662,4
1663,9
1664,7
1665,6
1666,5
1667,8
1668,1
1669,1
1670,0
1671,5
1672,6
1673,2
1674,5
1675,9
1676,4
1677,8
1678,7
1679,1
1680,4
1681,9
1682,0
1683,6
1684,4
1685,5
1686,6
1687,5
1688,7
1689,1
1690,3
1691,3
1692,4
1693,2
1694,2
1695,5
1696,8
1697,1
1698,2
1699,8
1700,3
1701,9
1702,7
1703,0
1704,9
1705,7
1706,4
1707,3
1708,2
1709,3
1710,5
1711,1
1712,3
1713,7
1714,0
1715,4
1716,6
1717,4
1718,1
1719,7
1720,1
1721,1
1722,6
1723,5
1724,6
1725,3
1726,2
1727,8
1728,9
1729,3
1730,7
1731,4
1732,3
1733,6
1734,2
1735,6
1736,7
1737,6
1738,9
1739,2
1740,8
1741,2
1742,1
1743,9
1744,4
1745,0
1746,2
1747,9
1748,0
1749,5
1750,8
1751,4
1752,1
1753,6
1754,7
1755,2
1756,4
1757,4
1758,4
1759,5
1760,2
1761,6
1762,4
1763,8
1764,2
1765,7
1766,1
1767,4
1768,3
1769,4
1770,2
1771,4
1772,2
1773,6
1774,8
1775,6
1776,6
1777,3
1778,9
1779,0
1780,0
1781,6
1782,2
1783,8
1784,1
1785,9
1786,5
1787,1
1788,7
1789,5
1790,5
1791,2
1792,7
1793,5
1794,6
1795,7
1796,9
1797,4
1798,4
1799,3
1800,3
1801,8
1802,8
1803,9
1804,0
1805,0
1806,7
1807,7
1808,8
1809,9
1810,0
1811,4
1812,5
1813,2
1814,8
1815,5
1816,2
1817,3
1818,0
1819,1
1820,3
1821,0
1822,7
1823,4
1824,2
1825,0
1826,3
1827,3
1828,0
1829,0
1830,5
1831,2
1832,7
1833,9
1834,4
1835,1
1836,9
1837,2
1838,3
1839,9
1840,8
1841,9
1842,3
1843,6
1844,2
1845,1
1846,5
1847,2
1848,1
1849,2
1850,9
1851,1
1852,6
1853,7
1854,5
1855,0
1856,6
1857,1
1858,9
1859,6
1860,1
1861,0
1862,1
1863,0
1864,6
1865,5
1866,2
1867,7
1868,3
1869,8
1870,1
1871,3
1872,2
1873,4
1874,3
1875,0
1876,1
1877,9
1878,6
1879,1
1880,0
1881,0
1882,9
1883,8
1884,7
1885,1
1886,2
1887,5
1888,8
1889,8
1890,9
1891,1
1892,9
1893,1
1894,0
1895,3
1896,5
1897,3
1898,1
1899,7
1900,8
1901,0
1902,0
1903,5
1904,0
1905,3
1906,7
1907,0
1908,6
1909,1
1910,1
1911,9
1912,9
1913,7
1914,9
1915,4
1916,7
1917,4
1918,6
1919,4
1920,1
1921,7
1922,1
1923,0
1924,5
1925,4
1926,7
1927,7
1928,6
1929,1
1930,9
1931,1
1932,2
1933,1
1934,3
1935,2
1936,4
1937,6
1938,2
1939,7
1940,2
1941,4
1942,2
1943,4
1944,0
1945,9
1946,3
1947,3
1948,8
1949,1
1950,9
1951,3
1952,9
1953,9
1954,4
1955,5
1956,7
1957,0
1958,8
1959,8
1960,8
1961,7
1962,9
1963,1
1964,3
1965,4
1966,9
1967,1
1968,6
1969,0
1970,5
1971,2
1972,7
1973,4
1974,8
1975,0
1976,5
1977,9
1978,5
1979,6
1980,9
1981,1
1982,9
1983,0
1984,9
1985,9
1986,8
1987,7
1988,3
1989,7
1990,9
1991,6
1992,0
1993,8
1994,5
1995,3
1996,6
1997,5
1998,5
1999,0
2000,9
2001,8
2002,4
2003,8
2004,9
2005,6
2006,3
2007,1
2008,0
2009,7
2010,2
2011,9
2012,7
2013,1
2014,2
2015,3
2016,2
2017,3
2018,9
2019,5
2020,7
2021,0
2022,2
2023,6
2024,5
2025,0
2026,1
2027,2
2028,6
2029,9
2030,9
2031,4
2032,9
2033,2
2034,8
2035,5
2036,5
2037,9
2038,2
2039,2
2040,5
2041,3
2042,7
2043,2
2044,4
2045,8
2046,1
2047,3
2048,5
2049,6
2050,8
2051,4
2052,0
2053,2
2054,8
2055,9
2056,4
2057,3
2058,6
2059,0
2060,5
2061,8
2062,6
2063,9
2064,4
2065,5
2066,9
2067,9
2068,5
2069,5
2070,2
2071,2
2072,4
2073,0
2074,4
2075,9
2076,8
2077,1
2078,5
2079,3
2080,5
2081,5
2082,9
2083,4
2084,2
2085,4
2086,7
2087,1
2088,1
2089,8
2090,0
2091,4
2092,1
2093,3
2094,7
2095,5
2096,8
2097,3
2098,3
2099,2
2100,8
2101,3
2102,7
2103,9
2104,1
2105,6
2106,3
2107,9
2108,5
2109,3
2110,0
2111,0
2112,5
2113,7
2114,3
2115,8
2116,0
2117,9
2118,2
2119,5
2120,3
2121,1
2122,6
2123,0
2124,0
2125,6
2126,1
2127,8
2128,2
2129,2
2130,3
2131,9
2132,9
2133,0
2134,3
2135,1
2136,2
2137,1
2138,2
2139,7
2140,6
2141,5
2142,0
2143,8
2144,6
2145,9
2146,3
2147,1
2148,7
2149,5
2150,4
2151,6
2152,2
2153,6
2154,6
2155,1
2156,3
2157,2
2158,7
2159,0
2160,3
2161,6
2162,8
2163,1
2164,8
2165,4
2166,1
2167,1
2168,2
2169,0
2170,1
2171,6
2172,5
2173,8
2174,7
2175,7
2176,7
2177,8
2178,3
2179,7
2180,2
2181,6
2182,5
2183,5
2184,6
2185,3
2186,5
2187,9
2188,8
2189,4
2190,6
2191,4
2192,8
2193,1
2194,1
2195,3
2196,9
2197,8
2198,1
2199,1
2200,6
2201,3
2202,1
2203,3
2204,8
2205,3
2206,7
2207,6
2208,0
2209,0
2210,0
2211,6
2212,4
2213,1
2214,0
2215,1
2216,7
2217,4
2218,5
2219,4
2220,9
2221,1
2222,3
2223,1
2224,3
2225,4
2226,1
2227,3
2228,6
2229,8
2230,3
2231,0
2232,6
2233,7
2234,0
2235,9
2236,3
2237,8
2238,1
2239,8
2240,7
2241,2
2242,9
2243,1
2244,8
2245,3
2246,1
2247,1
2248,4
2249,1
2250,6
2251,8
2252,7
2253,4
2254,8
2255,4
2256,0
2257,8
2258,5
2259,9
2260,7
2261,5
2262,7
2263,7
2264,5
2265,1
2266,4
2267,9
2268,8
2269,5
2270,3
2271,5
2272,9
2273,0
2274,4
2275,8
2276,4
2277,6
2278,8
2279,6
2280,1
2281,6
2282,6
2283,4
2284,3
2285,0
2286,7
2287,4
2288,7
2289,7
2290,7
2291,9
2292,9
2293,7
2294,3
2295,5
2296,2
2297,0
2298,1
2299,1
2300,7
2301,7
2302,7
2303,5
2304,9
2305,3
2306,2
2307,1
2308,1
2309,2
2310,9
2311,2
2312,3
2313,2
2314,6
2315,9
2316,3
2317,4
2318,8
2319,5
2320,2
2321,5
2322,1
2323,6
2324,3
2325,1
2326,5
2327,5
2328,3
2329,1
2330,8
2331,9
2332,0
2333,7
2334,3
2335,8
2336,2
2337,6
2338,2
2339,4
2340,7
2341,6
2342,0
2343,4
2344,8
2345,5
2346,9
2347,2
2348,4
2349,1
2350,8
2351,1
2352,2
2353,4
2354,1
2355,2
2356,0
2357,5
2358,2
2359,5
2360,5
2361,9
2362,0
2363,8
2364,4
2365,8
2366,7
2367,5
2368,9
2369,7
2370,7
2371,3
2372,9
2373,4
2374,0
2375,6
2376,9
2377,0
2378,0
2379,8
2380,1
2381,1
2382,6
2383,0
2384,9
2385,6
2386,1
2387,8
2388,9
2389,1
2390,2
2391,2
2392,8
2393,6
2394,4
2395,7
2396,3
2397,5
2398,5
2399,7
2400,9
2401,7
2402,0
2403,9
2404,1
2405,8
2406,7
2407,2
2408,7
2409,2
2410,9
2411,3
2412,1
2413,4
2414,2
2415,4
2416,8
2417,8
2418,3
2419,9
2420,2
2421,3
2422,7
2423,6
2424,0
2425,1
2426,3
2427,1
2428,8
2429,9
2430,5
2431,8
2432,7
2433,3
2434,9
2435,8
2436,7
2437,6
2438,9
2439,6
2440,0
2441,7
2442,2
2443,1
2444,6
2445,6
2446,3
2447,9
2448,7
2449,1
2450,9
2451,5
2452,8
2453,8
2454,0
2455,8
2456,1
2457,9
2458,9
2459,1
2460,7
2461,3
2462,5
2463,6
2464,3
2465,8
2466,8
2467,6
2468,6
2469,3
2470,3
2471,8
2472,9
2473,6
2474,3
2475,5
2476,6
2477,9
2478,3
2479,2
2480,0
2481,6
2482,7
2483,9
2484,8
2485,9
2486,6
2487,1
2488,1
2489,0
2490,4
2491,1
2492,0
2493,3
2494,2
2495,9
2496,3
2497,1
2498,3
2499,6
2500,6
2501,5
2502,3
2503,9
2504,9
2505,1
2506,4
2507,6
2508,7
2509,2
2510,0
2511,3
2512,3
2513,6
2514,2
2515,6
2516,2
2517,9
2518,1
2519,8
2520,5
2521,7
2522,3
2523,9
2524,8
2525,3
2526,3
2527,4
2528,0
2529,9
2530,4
2531,4
2532,7
2533,7
2534,2
2535,4
2536,6
2537,1
2538,4
2539,6
2540,9
2541,7
2542,1
2543,2
2544,3
2545,2
2546,6
2547,5
2548,1
2549,5
2550,0
2551,6
2552,6
2553,1
2554,3
2555,6
2556,1
2557,9
2558,9
2559,3
2560,8
2561,2
2562,7
2563,1
2564,1
2565,6
2566,1
2567,1
2568,0
2569,8
2570,0
2571,9
2572,0
2573,3
2574,2
2575,3
2576,8
2577,0
2578,0
2579,0
2580,3
2581,6
2582,7
2583,2
2584,9
2585,5
2586,8
2587,8
2588,1
2589,5
2590,8
2591,6
2592,7
2593,4
2594,5
2595,8
2596,2
2597,2
2598,6
2599,8
2600,3
2601,5
2602,1
2603,1
2604,2
2605,7
2606,3
2607,7
2608,1
2609,2
2610,6
2611,4
2612,8
2613,8
2614,0
2615,3
2616,8
2617,6
2618,9
2619,5
2620,1
2621,4
2622,7
2623,7
2624,0
2625,1
2626,8
2627,8
2628,8
2629,7
2630,1
2631,0
2632,8
2633,2
2634,4
2635,2
2636,6
2637,1
2638,6
2639,7
2640,5
2641,2
2642,4
2643,3
2644,1
2645,6
2646,4
2647,3
2648,7
2649,9
2650,5
2651,7
2652,0
2653,5
2654,2
2655,6
2656,6
2657,5
2658,1
2659,3
2660,9
2661,0
2662,7
2663,7
2664,7
2665,3
2666,4
2667,3
2668,1
2669,8
2670,3
2671,9
2672,4
2673,3
2674,8
2675,8
2676,1
2677,7
2678,3
2679,7
2680,3
2681,1
2682,8
2683,7
2684,7
2685,1
2686,1
2687,3
2688,3
2689,1
2690,0
2691,2
2692,1
2693,0
2694,3
2695,3
2696,8
2697,7
2698,3
2699,0
2700,9
2701,1
2702,7
2703,9
2704,9
2705,9
2706,9
2707,5
2708,6
2709,3
2710,1
2711,1
2712,1
2713,3
2714,9
2715,5
2716,2
2717,9
2718,1
2719,4
2720,3
2721,7
2722,1
2723,2
2724,9
2725,7
2726,1
2727,3
2728,9
2729,0
2730,6
2731,2
2732,6
2733,5
2734,5
2735,3
2736,3
2737,0
2738,4
2739,4
2740,7
2741,7
2742,8
2743,1
2744,8
2745,0
2746,4
2747,3
2748,6
2749,5
2750,3
2751,5
2752,5
2753,8
2754,8
2755,8
2756,5
2757,0
2758,0
2759,4
2760,2
2761,9
2762,3
2763,2
2764,6
2765,1
2766,0
2767,6
2768,7
2769,6
2770,8
2771,3
2772,7
2773,9
2774,0
2775,1
2776,8
2777,8
2778,6
2779,7
2780,5
2781,3
2782,4
2783,3
2784,7
2785,9
2786,2
2787,5
2788,7
2789,2
2790,1
2791,5
2792,1
2793,3
2794,8
2795,3
2796,4
2797,6
2798,5
2799,7
2800,2
2801,7
2802,5
2803,3
2804,1
2805,7
2806,7
2807,9
2808,6
2809,6
2810,9
2811,2
2812,9
2813,7
2814,6
2815,5
2816,0
2817,4
2818,6
2819,7
2820,8
2821,3
2822,9
2823,3
2824,8
2825,7
2826,6
2827,3
2828,5
2829,2
2830,0
2831,0
2832,1
2833,2
2834,6
2835,0
2836,6
2837,9
2838,5
2839,7
2840,0
2841,2
2842,8
2843,0
2844,4
2845,6
2846,3
2847,3
2848,1
2849,7
2850,6
2851,4
2852,0
2853,2
2854,7
2855,1
2856,6
2857,4
2858,1
2859,5
2860,5
2861,2
2862,4
2863,8
2864,8
2865,5
2866,4
2867,3
2868,8
2869,6
2870,2
2871,6
2872,4
2873,1
2874,9
2875,3
2876,2
2877,5
2878,2
2879,8
2880,4
2881,5
2882,7
2883,3
2884,8
2885,3
2886,5
2887,8
2888,2
2889,5
2890,0
2891,6
2892,6
2893,8
2894,4
2895,4
2896,0
2897,2
2898,3
2899,6
2900,7
2901,8
2902,9
2903,8
2904,8
2905,5
2906,0
2907,2
2908,4
2909,2
2910,4
2911,1
2912,6
2913,3
2914,7
2915,5
2916,1
2917,0
2918,2
2919,0
2920,6
2921,4
2922,6
2923,5
2924,8
2925,1
2926,0
2927,4
2928,6
2929,7
2930,2
2931,7
2932,8
2933,4
2934,1
2935,3
2936,0
2937,5
2938,8
2939,6
2940,4
2941,2
2942,7
2943,0
2944,7
2945,2
2946,2
2947,8
2948,3
2949,6
2950,7
2951,6
2952,2
2953,7
2954,6
2955,8
2956,9
2957,5
2958,7
2959,6
2960,0
2961,1
2962,7
2963,0
2964,9
2965,2
2966,0
2967,8
2968,0
2969,2
2970,6
2971,1
2972,3
2973,1
2974,7
2975,5
2976,8
2977,2
2978,6
2979,3
2980,3
2981,6
2982,9
2983,3
2984,3
2985,8
2986,8
2987,4
2988,4
2989,6
2990,2
2991,5
2992,0
2993,5
2994,3
2995,1
2996,8
2997,9
